Spectrum Number,Segment Number,Pressure,Pressure_err,Pressure_vary,Temperature,Temperature_err,Temperature_vary,x_shift,x_shift_err,x_shift_vary,molefraction_CO2,molefraction_CO2_err,molefraction_CO2_vary,baseline_a,baseline_a_err,baseline_a_vary
1,1,0.001,0.0,False,298.0,0.0,False,0.0,0.0,False,0.0003999999999999,0.0,False,0.0,0.0,False
2,1,0.0099999999999999,0.0,False,298.0,0.0,False,0.0,0.0,False,0.0003999999999999,0.0,False,0.0,0.0,False
3,1,0.1,0.0,False,298.0,0.0,False,0.0,0.0,False,0.0003999999999999,0.0,False,0.0,0.0,False
4,1,0.25,0.0,False,298.0,0.0,False,0.0,0.0,False,0.0003999999999999,0.0,False,0.0,0.0,False
5,1,0.75,0.0,False,298.0,0.0,False,0.0,0.0,False,0.0003999999999999,0.0,False,0.0,0.0,False
6,1,0.001,0.0,False,298.0,0.0,False,0.0,0.0,False,0.1,0.0,False,0.0,0.0,False
7,1,0.0099999999999999,0.0,False,298.0,0.0,False,0.0,0.0,False,0.1,0.0,False,0.0,0.0,False
8,1,0.1,0.0,False,298.0,0.0,False,0.0,0.0,False,0.1,0.0,False,0.0,0.0,False
9,1,0.25,0.0,False,298.0,0.0,False,0.0,0.0,False,0.1,0.0,False,0.0,0.0,False
10,1,0.75,0.0,False,298.0,0.0,False,0.0,0.0,False,0.1,0.0,False,0.0,0.0,False
11,1,0.001,0.0,False,298.0,0.0,False,0.0,0.0,False,1.0,0.0,False,0.0,0.0,False
12,1,0.0099999999999999,0.0,False,298.0,0.0,False,0.0,0.0,False,1.0,0.0,False,0.0,0.0,False
13,1,0.1,0.0,False,298.0,0.0,False,0.0,0.0,False,1.0,0.0,False,0.0,0.0,False
14,1,0.25,0.0,False,298.0,0.0,False,0.0,0.0,False,1.0,0.0,False,0.0,0.0,False
15,1,0.75,0.0,False,298.0,0.0,False,0.0,0.0,False,1.0,0.0,False,0.0,0.0,False
