trans_id,molec_id,local_iso_id,nu,sw,elower,gamma0_air,n_gamma0_air,delta0_air,n_delta0_air,SD_gamma_air,n_gamma2_air,SD_delta_air,n_delta2_air,nuVC_air,n_nuVC_air,eta_air,y_air_296
196,100,1,39412.5957,3.23E-17,0.00E+00,0.112177605,0,-0.06489823,0,0.085828841,0,0,0,0,0,0,0
198,100,2,39412.4587,2.16E-15,0.00E+00,0.112177605,0,-0.06489823,0,0.085072035,0,0,0,0,0,0,0
199A,100,3,39411.94471,1.22E-15,0.00E+00,0.112177605,0,-0.06489823,0,0.084698227,0,0,0,0,0,0,0
199B,100,4,39412.6831,2.43E-15,0.00E+00,0.112177605,0,-0.06489823,0,0.084698227,0,0,0,0,0,0,0
200,100,5,39412.29841,4.99E-15,0.00E+00,0.112177605,0,-0.06489823,0,0.084328245,0,0,0,0,0,0,0
201a,100,6,39411.96974,1.42E-15,0.00E+00,0.112177605,0,-0.06489823,0,0.083960741,0,0,0,0,0,0,0
201b,100,7,39412.43614,9.46E-16,0.00E+00,0.112177605,0,-0.06489823,0,0.083960741,0,0,0,0,0,0,0
201c,100,8,39412.68793,4.73E-16,0.00E+00,0.112177605,0,-0.06489823,0,0.083960741,0,0,0,0,0,0,0
202,100,9,39412.12174,6.41E-15,0.00E+00,0.112177605,0,-0.06489823,0,0.083597038,0,0,0,0,0,0,0
204,100,10,39411.94793,1.47E-15,0.00E+00,0.112177605,0,-0.06489823,0,0.08287823,0,0,0,0,0,0,0
