,trans_id,molec_id,local_iso_id,elower,nu,nu_err,nu_vary,sw,sw_err,sw_vary,sw_scale_factor,gamma0_air,gamma0_air_err,gamma0_air_vary,n_gamma0_air,delta0_air,delta0_air_err,delta0_air_vary,n_delta0_air,nuVC_air,nuVC_air_err,nuVC_air_vary,n_nuVC_air,SD_gamma_air,SD_gamma_air_err,SD_gamma_air_vary,n_gamma2_air,SD_delta_air,SD_delta_air_err,SD_delta_air_vary,n_delta2_air,eta_air,eta_air_err,eta_air_vary,y_air_296,y_air_296_err,y_air_296_vary
0,196,100,1,0.0,39412.5957,0,False,3.23,0,False,1e-17,0.09190160578714197,0.004613899851355869,True,0,-0.06489823,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,False
1,198,100,2,0.0,39412.4587,0,False,216.0,0,False,1e-17,0.10888363879834746,0.00015785223938411262,True,0,-0.06489823,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,False
2,199A,100,3,0.0,39411.94471,0,False,122.0,0,False,1e-17,0.12603427727021846,0.0008387924204581219,True,0,-0.06489823,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,False
3,199B,100,4,0.0,39412.6831,0,False,243.0,0,False,1e-17,0.1077388789573841,0.00043249946364620924,True,0,-0.06489823,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,False
4,200,100,5,0.0,39412.29841,0,False,499.0,0,False,1e-17,0.11028610551896467,4.02079451835056e-05,True,0,-0.06489823,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,False
5,201a,100,6,0.0,39411.96974,0,False,142.0,0,False,1e-17,0.11304120489638983,0.00024746993135864233,True,0,-0.06489823,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,False
6,201b,100,7,0.0,39412.43614,0,False,94.6,0,False,1e-17,0.11273954546429225,0.00037465169652888734,True,0,-0.06489823,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,False
7,201c,100,8,0.0,39412.68793,0,False,47.3,0,False,1e-17,0.12525693123744064,0.002735281578710325,True,0,-0.06489823,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,False
8,202,100,9,0.0,39412.12174,0,False,640.9999999999999,0,False,1e-17,0.11051088508931298,3.077457487365546e-05,True,0,-0.06489823,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,False
9,204,100,10,0.0,39411.94793,0,False,147.0,0,False,1e-17,0.09758549429537287,0.0005086818409495191,True,0,-0.06489823,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,False
